State,Number of National Parks
Alabama,0
Alaska,8
Arizona,3
Arkansas,1
California,9
Colorado,4
Connecticut,0
Delaware,0
Florida,3
Georgia,0
Hawaii,2
Idaho,0
Illinois,0
Indiana,1
Iowa,0
Kansas,0
Kentucky,1
Louisiana,0
Maine,1
Maryland,0
Massachusetts,0
Michigan,1
Minnesota,1
Mississippi,0
Missouri,1
Montana,2
Nebraska,0
Nevada,1
New Hampshire,0
New Jersey,0
New Mexico,2
New York,0
North Carolina,1
North Dakota,1
Ohio,1
Oklahoma,0
Oregon,1
Pennsylvania,0
Rhode Island,0
South Carolina,1
South Dakota,2
Tennessee,1
Texas,2
Utah,5
Vermont,0
Virginia,1
Washington,3
West Virginia,1
Wisconsin,0
Wyoming,2
There are 63 National Parks within the U.S.
There are 63 National Parks within the U.S.
